Status,Precio USD,Area m2,USD/m2,Ambientes,Direccion,Notas,URL
pending,87000,58,1500,3,"Alvarez Jonte 3700","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-ambientes-villa-del-parque-59015208.html
rejected,98000,40,2450,2,"Montevideo al 900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-2-ambientes.-excelente-ubicacion-montevideo-a-m-58563876.html
pending,79000,51,1549,2,"AV. Triunvirato al 3000 2°","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-semip-en-triunvirato-al-3000-frente-impecable-balcon-56346648.html
pending,98000,67,1463,4,"Juan B Justo  al 3200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-4-ambientes-en-villa-crespo.-58921533.html
favorite,56000,44,1273,2,"Lascano  al 3800","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-ambientes-iluminado-para-refaccionar-59108855.html
pending,89000,48,1854,2,"Navarro al 3300","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-muy-buen-departamento-2-ambientes-villa-devoto-por-59082098.html
pending,95000,56,1696,3,"Avenida San Martín 4200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-vta-dpto-3-amb-con-balcon-aptocredito-vdp-58915142.html
rejected,95000,46,2065,2,"Santos Dumont 2475","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-en-colegiales-57415317.html
rejected,69900,48,1456,2,"Camarones  al 2853","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta-ph-2-ambientes-villa-santa-rita-sin-expensas-58658614.html
pending,95000,49,1939,2,"CABILDO, AVDA. 200. Entre Matienzo, Benjamin y Dumont, Santos","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-de-2-ambientes-palermo-56898615.html
pending,89000,45,1978,2,"NAZCA AV. 3688. Entre Navarro y Lopez Solano, Fco.","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2-amb.-apto-credito-frente-balcon-muy-58862554.html
